,0,1
0,Adygey,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('CanESM5', 'ssp585')]"
1,Altay,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('EC-Earth3', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245'), ('AWI-CM-1-1-MR', 'ssp585')]"
2,Amur,"[('AWI-CM-1-1-MR', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
3,Arkhangel'sk,"[('ACCESS-CM2', 'ssp126'), ('BCC-CSM2-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('UKESM1-0-LL', 'ssp370'), ('EC-Earth3', 'ssp585')]"
4,Astrakhan',"[('INM-CM4-8', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('IPSL-CM6A-LR', 'ssp245'), ('UKESM1-0-LL', 'ssp370'), ('MIROC6', 'ssp585')]"
5,Bashkortostan,"[('CNRM-CM6-1', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
6,Belgorod,"[('ACCESS-CM2', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('MIROC6', 'ssp126'), ('EC-Earth3', 'ssp370'), ('BCC-CSM2-MR', 'ssp585')]"
7,Bryansk,"[('ACCESS-CM2', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CanESM5', 'ssp245'), ('EC-Earth3', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('CNRM-CM6-1', 'ssp370'), ('MIROC6', 'ssp370')]"
8,Buryat,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('EC-Earth3', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
9,Chechnya,"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('BCC-CSM2-MR', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('EC-Earth3', 'ssp370')]"
10,Chelyabinsk,"[('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('ACCESS-CM2', 'ssp370'), ('GFDL-ESM4', 'ssp585'), ('NorESM2-MM', 'ssp585')]"
11,Chukot,"[('AWI-CM-1-1-MR', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp245')]"
12,Chuvash,"[('CanESM5', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('INM-CM4-8', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
13,CityofSt.Petersburg,"[('AWI-CM-1-1-MR', 'ssp126'), ('CanESM5', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp585')]"
14,Dagestan,"[('ACCESS-CM2', 'ssp126'), ('BCC-CSM2-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('EC-Earth3', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
15,Gorno-Altay,"[('ACCESS-CM2', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('EC-Earth3', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
16,Ingush,"[('BCC-CSM2-MR', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MIROC6', 'ssp126'), ('CanESM5', 'ssp245')]"
17,Irkutsk,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
18,Ivanovo,"[('ACCESS-CM2', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp245'), ('AWI-CM-1-1-MR', 'ssp370'), ('CanESM5', 'ssp370'), ('INM-CM4-8', 'ssp370'), ('NorESM2-MM', 'ssp370')]"
19,Kabardin-Balkar,"[('EC-Earth3', 'ssp126'), ('INM-CM4-8', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245')]"
20,Kaliningrad,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
21,Kalmyk,"[('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('NorESM2-MM', 'ssp245')]"
22,Kaluga,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('MIROC6', 'ssp245'), ('BCC-CSM2-MR', 'ssp370')]"
23,Kamchatka,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('IPSL-CM6A-LR', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
24,Karachay-Cherkess,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('EC-Earth3', 'ssp245')]"
25,Karelia,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
26,Kemerovo,"[('CNRM-CM6-1', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
27,Khabarovsk,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp585')]"
28,Khakass,"[('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('NorESM2-MM', 'ssp370')]"
29,Khanty-Mansiy,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('GFDL-ESM4', 'ssp370'), ('MPI-ESM1-2-HR', 'ssp585')]"
30,Kirov,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MIROC6', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245')]"
31,Komi,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('MRI-ESM2-0', 'ssp245')]"
32,Kostroma,"[('CMCC-ESM2', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('UKESM1-0-LL', 'ssp245'), ('EC-Earth3', 'ssp370')]"
33,Krasnodar,"[('AWI-CM-1-1-MR', 'ssp126'), ('CanESM5', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('EC-Earth3', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('INM-CM4-8', 'ssp370')]"
34,Krasnoyarsk,"[('CNRM-CM6-1', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
35,Kurgan,"[('CNRM-CM6-1', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('INM-CM4-8', 'ssp245'), ('UKESM1-0-LL', 'ssp245'), ('EC-Earth3', 'ssp585')]"
36,Kursk,"[('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('EC-Earth3', 'ssp245'), ('CMCC-ESM2', 'ssp370'), ('ACCESS-CM2', 'ssp585'), ('UKESM1-0-LL', 'ssp585')]"
37,Leningrad,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MIROC6', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('GFDL-ESM4', 'ssp245')]"
38,Lipetsk,"[('GFDL-ESM4', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('CNRM-CM6-1', 'ssp370'), ('EC-Earth3', 'ssp585')]"
39,Magadan,"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('ACCESS-CM2', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('EC-Earth3', 'ssp370')]"
40,Mariy-El,"[('CanESM5', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('INM-CM4-8', 'ssp370')]"
41,Mordovia,"[('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245')]"
42,MoscowCity,"[('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MIROC6', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('ACCESS-CM2', 'ssp370'), ('EC-Earth3', 'ssp370'), ('IPSL-CM6A-LR', 'ssp370'), ('AWI-CM-1-1-MR', 'ssp585')]"
43,Moskva,"[('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('ACCESS-CM2', 'ssp370'), ('EC-Earth3', 'ssp370'), ('MIROC6', 'ssp370')]"
44,Murmansk,"[('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('MRI-ESM2-0', 'ssp370')]"
45,Nenets,"[('GFDL-ESM4', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('MIROC6', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('AWI-CM-1-1-MR', 'ssp370'), ('CNRM-CM6-1', 'ssp585')]"
46,Nizhegorod,"[('CMCC-ESM2', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('UKESM1-0-LL', 'ssp245')]"
47,NorthOssetia,"[('BCC-CSM2-MR', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('MIROC6', 'ssp126'), ('CanESM5', 'ssp245'), ('GFDL-ESM4', 'ssp245')]"
48,Novgorod,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('GFDL-ESM4', 'ssp370'), ('MPI-ESM1-2-HR', 'ssp370')]"
49,Novosibirsk,"[('MIROC6', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('BCC-CSM2-MR', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('EC-Earth3', 'ssp245')]"
50,Omsk,"[('ACCESS-CM2', 'ssp126'), ('BCC-CSM2-MR', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MIROC6', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CNRM-CM6-1', 'ssp245'), ('UKESM1-0-LL', 'ssp245'), ('CAMS-CSM1-0', 'ssp370'), ('IPSL-CM6A-LR', 'ssp370'), ('GFDL-ESM4', 'ssp585'), ('MPI-ESM1-2-HR', 'ssp585')]"
51,Orel,"[('EC-Earth3', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CMCC-ESM2', 'ssp370'), ('INM-CM4-8', 'ssp370'), ('MRI-ESM2-0', 'ssp370'), ('ACCESS-CM2', 'ssp585'), ('CNRM-CM6-1', 'ssp585')]"
52,Orenburg,"[('BCC-CSM2-MR', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('CNRM-CM6-1', 'ssp245')]"
53,Penza,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CMCC-ESM2', 'ssp245')]"
54,Perm',"[('AWI-CM-1-1-MR', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
55,Primor'ye,"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('ACCESS-CM2', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('CNRM-CM6-1', 'ssp370')]"
56,Pskov,"[('ACCESS-CM2', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MIROC6', 'ssp126'), ('CanESM5', 'ssp245'), ('UKESM1-0-LL', 'ssp245'), ('NorESM2-MM', 'ssp585')]"
57,Rostov,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CNRM-CM6-1', 'ssp370')]"
58,Ryazan',"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MIROC6', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CanESM5', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('NorESM2-MM', 'ssp585')]"
59,Sakha,"[('AWI-CM-1-1-MR', 'ssp126'), ('CanESM5', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('BCC-CSM2-MR', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('CNRM-CM6-1', 'ssp370')]"
60,Sakhalin,"[('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('INM-CM4-8', 'ssp245'), ('MRI-ESM2-0', 'ssp370')]"
61,Samara,"[('CNRM-CM6-1', 'ssp126'), ('INM-CM4-8', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CanESM5', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('EC-Earth3', 'ssp585')]"
62,Saratov,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('EC-Earth3', 'ssp585')]"
63,Smolensk,"[('CanESM5', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CAMS-CSM1-0', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('CNRM-CM6-1', 'ssp585')]"
64,Stavropol',"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('INM-CM4-8', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('EC-Earth3', 'ssp370')]"
65,Sverdlovsk,"[('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CNRM-CM6-1', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
66,Tambov,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('CMCC-ESM2', 'ssp585'), ('MRI-ESM2-0', 'ssp585')]"
67,Tatarstan,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
68,Tomsk,"[('BCC-CSM2-MR', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('INM-CM4-8', 'ssp245'), ('CMCC-ESM2', 'ssp370'), ('EC-Earth3', 'ssp585')]"
69,Tula,"[('CMCC-ESM2', 'ssp126'), ('CanESM5', 'ssp245'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('UKESM1-0-LL', 'ssp245'), ('NorESM2-MM', 'ssp370')]"
70,Tuva,"[('ACCESS-CM2', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('EC-Earth3', 'ssp370')]"
71,Tver',"[('CAMS-CSM1-0', 'ssp126'), ('EC-Earth3', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
72,Tyumen',"[('BCC-CSM2-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CanESM5', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
73,Udmurt,"[('BCC-CSM2-MR', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('NorESM2-MM', 'ssp126')]"
74,Ul'yanovsk,"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('GFDL-ESM4', 'ssp245')]"
75,Vladimir,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('EC-Earth3', 'ssp245'), ('MIROC6', 'ssp370'), ('UKESM1-0-LL', 'ssp370'), ('CanESM5', 'ssp585')]"
76,Volgograd,"[('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('EC-Earth3', 'ssp245'), ('CMCC-ESM2', 'ssp370')]"
77,Vologda,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('NorESM2-MM', 'ssp585')]"
78,Voronezh,"[('BCC-CSM2-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('INM-CM4-8', 'ssp245'), ('UKESM1-0-LL', 'ssp585')]"
79,Yamal-Nenets,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp585')]"
80,Yaroslavl',"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('MIROC6', 'ssp585')]"
81,Yevrey,"[('CAMS-CSM1-0', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp370')]"
82,Zabaykal'ye,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
